NAMES, address,Mail ,country,account Created at,transactions,account created at
David Lewis,"{'address': {'streeet': '338 Andersen Plaza', 'city': 'South Karen', 'post code': 11801-52229, 'country': 'Jamaica'} }",hillrebecca@west.com,Jamaica,2017-04-24 10:14:40.287,"[{'amount': '$885,79', 'transactionDate': '2021_08-31 14:07:59.857571', 'tt': {'t': 'withdrawal', 'from': 'GB05LPEZ51015867404172', 'to': 'Null'}}, {'amount': '$868,51', 'transaction date': '2019_04-11 18:11:48.621197', 'tt': {'t': 'transfer', 'from': 'GB05LPEZ51015867404172', 'to': 'GB21PYDQ15867366565065'}}, {'amount': '$185,47', 'transactionDate': '2022_04-12 19:16:38.082757', 'tt': {'t': 'transfer', 'from': 'GB05LPEZ51015867404172', 'to': 'GB39TMUD68606892306623'}}, {'amount': '$920,98', 'transaction date': '2021_09-25 00:30:06.119378', 'tt': {'t': 'charge', 'from': 'GB05LPEZ51015867404172', 'to': None}}, {'amount': '$215,29', 'transaction_date': '2018_07-23 21:47:28.134570', 'tt': {'t': 'charge', 'from': 'GB05LPEZ51015867404172', 'to': 'Null'}}, {'amount': '$609,94', 'transactionDate': '2024_02-23 12:23:30.889824', 'tt': {'t': 'withdrawal', 'from': 'GB05LPEZ51015867404172', 'to': 'Null'}}]",2017-04-24 10:14:40.287071
Francisco Mitchell,"{'address': {'streeet': '5117 Richard Viaduct Apt. 111', 'city': 'New Kathleen', 'post code': 09037-85289, 'country': 'Swaziland'}}",lowenatalie@jones.com,Swaziland,2008-11-13 14:14:56.592,"[{'amount': '€86,96', 'transaction date': '2015_08-04 20:02:18.095065', 'tt': {'t': 'transfer', 'from': 'GB21FMMM86778192636360', 'to': 'GB46XHFO29359959851558'}}, {'amount': '€132,36', 'transaction_date': '2011_07-31 11:38:19.917685', 'tt': {'t': 'withdrawal', 'from': 'GB21FMMM86778192636360', 'to': None}}, {'amount': '€716,79', 'transaction date': '2017_03-18 01:06:12.469945', 'tt': {'t': 'withdrawal', 'from': 'GB21FMMM86778192636360', 'to': None}}, {'amount': '€759,21', 'transactionDate': '2010_07-10 11:08:05.835778', 'tt': {'t': 'deposit', 'from': 'GB21FMMM86778192636360', 'to': 'Null'}}]",2008-11-13 14:14:56.592663
Albert James,"{'address': {'streeet': '40285 William Expressway', 'city': 'Cardenasberg', 'post code': 56974-35085, 'country': 'Japan'}}",james26@mcfarland.info,Japan,2022-07-04 07:26:23.684,"[{'amount': '$722,73', 'transaction date': '2022_09-18 23:46:19.956621', 'tt': {'t': 'deposit', 'from': 'GB33OMOM35809172942173', 'to': 'Null'}}, {'amount': '$102,57', 'transaction_date': '2024_03-17 20:34:00.458230', 'tt': {'t': 'charge', 'from': 'GB33OMOM35809172942173', 'to': None}}, {'amount': '$654,36', 'transaction_date': '2023_06-11 09:25:31.268465', 'tt': {'t': 'transfer', 'from': 'GB33OMOM35809172942173', 'to': 'GB51TVJN09085802719083'}}, {'amount': '$261,7', 'transactionDate': '2023_09-17 22:55:12.984883', 'tt': {'t': 'withdrawal', 'from': 'GB33OMOM35809172942173', 'to': 'Null'}}, {'amount': '$402,19', 'transactionDate': '2022_07-23 13:15:25.883971', 'tt': {'t': 'deposit', 'from': 'GB33OMOM35809172942173', 'to': None}}, {'amount': '$145,42', 'transaction date': '2024_02-02 07:14:47.700464', 'tt': {'t': 'transfer', 'from': 'GB33OMOM35809172942173', 'to': 'GB83WJOE45949284022460'}}]",2022-07-04 07:26:23.684193
Christina Alexander,"{'address': {'streeet': '325 Victor Street', 'city': 'Benjaminton', 'post code': 99267-49077, 'country': 'New Caledonia'}}",floydmark@sanchez.com,New Caledonia,2009-06-20 01:37:08.625,"[{'amount': '€293,86', 'transactionDate': '2017_08-20 15:49:02.101736', 'tt': {'t': 'deposit', 'from': 'GB74SQDL18849090469963', 'to': None}}, {'amount': '€110,70', 'transaction_date': '2014_11-26 09:19:33.378887', 'tt': {'t': 'withdrawal', 'from': 'GB74SQDL18849090469963', 'to': 'Null'}}, {'amount': '€878,59', 'transaction_date': '2018_12-16 09:38:12.559932', 'tt': {'t': 'deposit', 'from': 'GB74SQDL18849090469963', 'to': None}}, {'amount': '€42,96', 'transaction date': '2011_09-16 04:30:11.071723', 'tt': {'t': 'deposit', 'from': 'GB74SQDL18849090469963', 'to': None}}, {'amount': '€423,78', 'transactionDate': '2013_08-26 17:53:45.023517', 'tt': {'t': 'transfer', 'from': 'GB74SQDL18849090469963', 'to': 'GB96HYKQ13830671298289'}}, {'amount': '€938,0', 'transaction date': '2017_06-03 14:34:55.622340', 'tt': {'t': 'deposit', 'from': 'GB74SQDL18849090469963', 'to': 'Null'}}, {'amount': '€404,38', 'transaction_date': '2019_01-26 01:01:27.774704', 'tt': {'t': 'charge', 'from': 'GB74SQDL18849090469963', 'to': 'Null'}}]",2009-06-20 01:37:08.625945
Nicholas Bryant,"{'address': {'streeet': '268 David Park Apt. 015', 'city': 'Josephbury', 'post code': 45374-82320, 'country': 'Zimbabwe'} }",gutierrezeric@barrett.com,Zimbabwe,2020-04-12 21:19:20.032,"[{'amount': '€565,19', 'transaction_date': '2023_05-23 17:43:37.589957', 'tt': {'t': 'charge', 'from': 'GB34BVSS52619871154220', 'to': None}}, {'amount': '€710,78', 'transactionDate': '2021_11-29 23:11:35.353976', 'tt': {'t': 'charge', 'from': 'GB34BVSS52619871154220', 'to': 'Null'}}, {'amount': '€438,57', 'transactionDate': '2023_07-01 07:07:15.161487', 'tt': {'t': 'withdrawal', 'from': 'GB34BVSS52619871154220', 'to': None}}]",2020-04-12 21:19:20.032065
Lindsay Peterson,"{'address': {'streeet': '638 Collier Ways Apt. 050', 'city': 'Carlaberg', 'post code': 88245-99445, 'country': 'Mali'}}",phillipskatherine@stewart.info,Mali,2009-07-20 07:14:55.507,"[{'amount': '£328,29', 'transaction_date': '2013_02-23 09:33:16.475925', 'tt': {'t': 'transfer', 'from': 'GB82SZCZ07544789541962', 'to': 'GB29MUOL29528678610549'}}, {'amount': '£548,3', 'transaction date': '2018_12-23 07:07:09.108485', 'tt': {'t': 'withdrawal', 'from': 'GB82SZCZ07544789541962', 'to': None}}, {'amount': '£329,53', 'transaction_date': '2010_02-01 00:23:49.820329', 'tt': {'t': 'charge', 'from': 'GB82SZCZ07544789541962', 'to': 'Null'}}, {'amount': '£739,58', 'transaction date': '2010_03-25 11:00:19.464379', 'tt': {'t': 'withdrawal', 'from': 'GB82SZCZ07544789541962', 'to': None}}, {'amount': '£631,29', 'transaction date': '2021_06-27 23:39:57.452221', 'tt': {'t': 'charge', 'from': 'GB82SZCZ07544789541962', 'to': None}}, {'amount': '£573,96', 'transactionDate': '2025_01-05 05:38:49.331333', 'tt': {'t': 'deposit', 'from': 'GB82SZCZ07544789541962', 'to': 'Null'}}, {'amount': '£974,91', 'transaction date': '2013_01-08 07:37:35.448913', 'tt': {'t': 'charge', 'from': 'GB82SZCZ07544789541962', 'to': None}}, {'amount': '£857,29', 'transaction_date': '2018_09-27 22:23:50.037692', 'tt': {'t': 'deposit', 'from': 'GB82SZCZ07544789541962', 'to': None}}]",2009-07-20 07:14:55.507919
Kristopher Smith,"{'address': {'streeet': '73700 Santiago Walk Suite 660', 'city': 'Francesville', 'post code': 01234-44014, 'country': 'Kiribati'}}",singletonsarah@johnson.biz,Kiribati,2017-05-02 12:26:24.641,"[{'amount': '€436,10', 'transaction date': '2022_10-22 16:39:36.867798', 'tt': {'t': 'deposit', 'from': 'GB20YSFC80557111388275', 'to': None}}, {'amount': '€661,1', 'transactionDate': '2018_09-08 23:23:48.115263', 'tt': {'t': 'transfer', 'from': 'GB20YSFC80557111388275', 'to': 'GB86GJWN90643626205433'}}, {'amount': '€684,84', 'transaction date': '2022_08-17 20:29:46.208887', 'tt': {'t': 'withdrawal', 'from': 'GB20YSFC80557111388275', 'to': 'Null'}}, {'amount': '€133,93', 'transaction_date': '2019_01-27 02:36:15.445596', 'tt': {'t': 'withdrawal', 'from': 'GB20YSFC80557111388275', 'to': None}}, {'amount': '€34,49', 'transaction_date': '2023_12-23 01:05:52.004184', 'tt': {'t': 'withdrawal', 'from': 'GB20YSFC80557111388275', 'to': None}}]",2017-05-02 12:26:24.641867
Marcus Mendoza,"{'address': {'streeet': '61225 Hatfield Divide Apt. 311', 'city': 'Miguelfurt', 'post code': 26931-53136, 'country': 'Puerto Rico'}",shane58@anderson.com,Puerto Rico,2014-03-11 07:44:37.060,"[{'amount': '£723,79', 'transaction_date': '2023_03-01 18:40:32.251764', 'tt': {'t': 'deposit', 'from': 'GB84IOMX72607238701695', 'to': 'Null'}}, {'amount': '£514,98', 'transaction date': '2018_08-25 20:23:35.800398', 'tt': {'t': 'withdrawal', 'from': 'GB84IOMX72607238701695', 'to': None}}, {'amount': '£939,78', 'transactionDate': '2019_09-16 04:14:09.649943', 'tt': {'t': 'withdrawal', 'from': 'GB84IOMX72607238701695', 'to': 'Null'}}, {'amount': '£813,86', 'transaction date': '2024_02-01 09:45:32.882016', 'tt': {'t': 'deposit', 'from': 'GB84IOMX72607238701695', 'to': None}}, {'amount': '£717,52', 'transaction date': '2019_10-23 13:32:46.448055', 'tt': {'t': 'transfer', 'from': 'GB84IOMX72607238701695', 'to': 'GB67ABAS99191525075319'}}, {'amount': '£627,75', 'transaction_date': '2017_05-03 18:14:29.244622', 'tt': {'t': 'deposit', 'from': 'GB84IOMX72607238701695', 'to': None}}, {'amount': '£966,47', 'transactionDate': '2021_12-01 21:03:44.455144', 'tt': {'t': 'charge', 'from': 'GB84IOMX72607238701695', 'to': None}}, {'amount': '£384,20', 'transactionDate': '2022_04-11 10:47:46.276527', 'tt': {'t': 'withdrawal', 'from': 'GB84IOMX72607238701695', 'to': 'Null'}}, {'amount': '£665,10', 'transaction date': '2018_05-10 13:28:01.610025', 'tt': {'t': 'transfer', 'from': 'GB84IOMX72607238701695', 'to': 'GB12EAAJ16414067488261'}}, {'amount': '£803,40', 'transaction_date': '2023_09-04 13:04:59.957715', 'tt': {'t': 'deposit', 'from': 'GB84IOMX72607238701695', 'to': 'Null'}}]",2014-03-11 07:44:37.060682
Sara Martinez,"{'address': {'streeet': '22890 Andrews Mill Suite 651', 'city': 'Dyerborough', 'post code': 82467-09985, 'country': 'New Caledonia'}}",whitney41@vargas.com,New Caledonia,2004-08-10 12:33:22.496,[],2004-08-10 12:33:22.496942
Richard Dean,"{'address': {'streeet': '918 Caleb Corner', 'city': 'North Stephaniebury', 'post code': 66757-64139, 'country': 'Guinea-Bissau'}}",jordanjennifer@valenzuela-thompson.com,Guinea-Bissau,2022-09-08 09:40:44.620,"[{'amount': '€795,37', 'transaction date': '2024_06-06 16:53:49.968216', 'tt': {'t': 'charge', 'from': 'GB28PXZY72529171895404', 'to': 'Null'}}, {'amount': '€672,38', 'transaction date': '2024_06-23 06:08:22.646507', 'tt': {'t': 'withdrawal', 'from': 'GB28PXZY72529171895404', 'to': None}}, {'amount': '€882,98', 'transactionDate': '2023_07-04 14:21:15.058170', 'tt': {'t': 'deposit', 'from': 'GB28PXZY72529171895404', 'to': None}}, {'amount': '€521,94', 'transaction_date': '2024_04-21 20:29:26.964760', 'tt': {'t': 'charge', 'from': 'GB28PXZY72529171895404', 'to': 'Null'}}, {'amount': '€459,32', 'transaction date': '2023_04-19 20:36:19.281585', 'tt': {'t': 'withdrawal', 'from': 'GB28PXZY72529171895404', 'to': None}}, {'amount': '€149,83', 'transactionDate': '2022_09-30 02:00:00.384848', 'tt': {'t': 'deposit', 'from': 'GB28PXZY72529171895404', 'to': None}}, {'amount': '€646,7', 'transaction_date': '2022_10-04 07:07:57.749960', 'tt': {'t': 'charge', 'from': 'GB28PXZY72529171895404', 'to': None}}, {'amount': '€464,38', 'transactionDate': '2024_03-26 08:08:37.590687', 'tt': {'t': 'deposit', 'from': 'GB28PXZY72529171895404', 'to': 'Null'}}]",2022-09-08 09:40:44.620997
James Delacruz,"{'address': {'streeet': '847 Leonard Circle', 'city': 'Mirandafort', 'post code': 87112-65375, 'country': 'Nicaragua'}}",sean05@english.net,Nicaragua,2019-05-09 14:16:31.987,"[{'amount': '£715,23', 'transaction_date': '2021_06-28 18:46:53.342308', 'tt': {'t': 'withdrawal', 'from': 'GB28MIVY70758216914883', 'to': 'Null'}}, {'amount': '£270,58', 'transactionDate': '2023_09-25 05:42:16.330434', 'tt': {'t': 'withdrawal', 'from': 'GB28MIVY70758216914883', 'to': 'Null'}}, {'amount': '£889,68', 'transaction date': '2019_09-17 05:14:54.142195', 'tt': {'t': 'deposit', 'from': 'GB28MIVY70758216914883', 'to': None}}, {'amount': '£889,91', 'transaction date': '2022_07-22 19:26:17.027083', 'tt': {'t': 'charge', 'from': 'GB28MIVY70758216914883', 'to': None}}, {'amount': '£664,75', 'transaction_date': '2023_10-06 20:23:38.246916', 'tt': {'t': 'transfer', 'from': 'GB28MIVY70758216914883', 'to': 'GB32GTEM91675496135821'}}, {'amount': '£67,42', 'transactionDate': '2021_11-01 13:45:25.351083', 'tt': {'t': 'charge', 'from': 'GB28MIVY70758216914883', 'to': None}}]",2019-05-09 14:16:31.987428
George Flores,"{'address': {'streeet': '0896 Michael Crossroad Suite 564', 'city': 'Kimberlymouth', 'post code': 53301-18178, 'country': 'Latvia'} }",ibarnett@blair.biz,Latvia,2002-03-11 10:40:45.964,"[{'amount': '$632,78', 'transaction_date': '2011_07-17 15:44:26.318256', 'tt': {'t': 'transfer', 'from': 'GB23TCDI16140056051719', 'to': 'GB10AQRO40934789227961'}}]",2002-03-11 10:40:45.964701
Dr. Kevin Phillips Jr.,"{'address': {'streeet': '797 Melissa Mountains Suite 895', 'city': 'New Kaitlynmouth', 'post code': 72417-32308, 'country': 'Guinea'}}",hickmantanner@fox.info,Guinea,2001-05-06 18:44:56.570,"[{'amount': '£232,58', 'transactionDate': '2001_09-17 23:13:14.175649', 'tt': {'t': 'withdrawal', 'from': 'GB43YFEQ09188328238234', 'to': 'Null'}}, {'amount': '£905,85', 'transaction_date': '2002_04-29 23:26:56.666944', 'tt': {'t': 'withdrawal', 'from': 'GB43YFEQ09188328238234', 'to': 'Null'}}, {'amount': '£814,87', 'transaction date': '2016_03-26 10:00:04.215664', 'tt': {'t': 'deposit', 'from': 'GB43YFEQ09188328238234', 'to': None}}, {'amount': '£331,81', 'transactionDate': '2004_02-21 19:00:25.486399', 'tt': {'t': 'transfer', 'from': 'GB43YFEQ09188328238234', 'to': 'GB68ZIJZ96734614536306'}}]",2001-05-06 18:44:56.570279
Shelly Robinson,"{'address': {'streeet': '4163 Smith Dale', 'city': 'North Sallymouth', 'post code': 96059-60073, 'country': 'France'}}   ",clarkchristopher@murphy-thomas.org,France,2004-12-12 11:00:54.694,"[{'amount': '€276,98', 'transaction date': '2015_05-20 17:58:21.939431', 'tt': {'t': 'charge', 'from': 'GB56OOIZ71619697872967', 'to': 'Null'}}, {'amount': '€650,86', 'transactionDate': '2023_12-17 12:14:05.309089', 'tt': {'t': 'transfer', 'from': 'GB56OOIZ71619697872967', 'to': 'GB89NMLU56642887876174'}}, {'amount': '€503,51', 'transactionDate': '2024_01-07 22:21:54.968829', 'tt': {'t': 'charge', 'from': 'GB56OOIZ71619697872967', 'to': 'Null'}}, {'amount': '€907,40', 'transaction date': '2023_06-01 00:13:03.339014', 'tt': {'t': 'deposit', 'from': 'GB56OOIZ71619697872967', 'to': 'Null'}}, {'amount': '€221,1', 'transaction_date': '2007_10-27 23:45:11.669049', 'tt': {'t': 'charge', 'from': 'GB56OOIZ71619697872967', 'to': 'Null'}}, {'amount': '€694,13', 'transactionDate': '2022_02-18 22:41:05.047703', 'tt': {'t': 'transfer', 'from': 'GB56OOIZ71619697872967', 'to': 'GB72YDMV30738991615705'}}, {'amount': '€34,29', 'transaction date': '2006_06-25 11:08:23.592773', 'tt': {'t': 'deposit', 'from': 'GB56OOIZ71619697872967', 'to': None}}, {'amount': '€890,48', 'transaction date': '2021_12-07 04:13:08.373035', 'tt': {'t': 'transfer', 'from': 'GB56OOIZ71619697872967', 'to': 'GB49MFRR63912310983821'}}]",2004-12-12 11:00:54.694169
